Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
504906,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,6,2010-04-19 07:14:00,7.65,17850.0,United Kingdom
564734,22367,CHILDRENS APRON SPACEBOY DESIGN,4,2011-08-28 13:32:00,1.95,12484.0,Spain
507880,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,16,2010-05-11 15:03:00,9.95,12455.0,Cyprus
534020,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2010-11-19 14:40:00,2.1,15846.0,United Kingdom
525757,22576,SWALLOW WOODEN CHRISTMAS DECORATION,20,2010-10-07 10:29:00,0.85,12841.0,United Kingdom
546414,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,2011-03-13 10:25:00,0.85,16768.0,United Kingdom
526108,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2010-10-08 12:48:00,3.75,14904.0,United Kingdom
519406,20977,36 PENCILS TUBE WOODLAND,16,2010-08-17 09:31:00,1.25,15245.0,United Kingdom
578341,21703,BAG 125g SWIRLY MARBLES,288,2011-11-24 09:13:00,0.42,16966.0,United Kingdom
544917,21498,RED RETROSPOT WRAP ,25,2011-02-24 15:56:00,0.42,13751.0,United Kingdom
556197,82578,KITCHEN METAL SIGN,12,2011-06-09 12:27:00,0.55,18065.0,United Kingdom
545514,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,2011-03-03 12:06:00,4.25,15053.0,United Kingdom
533120,21870,I CAN ONLY PLEASE ONE PERSON MUG,108,2010-11-16 12:32:00,1.06,14156.0,EIRE
533577,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2010-11-18 11:08:00,4.25,17377.0,United Kingdom
534187,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,1,2010-11-21 14:10:00,2.95,16501.0,United Kingdom
569060,22846,BREAD BIN DINER STYLE RED ,1,2011-09-30 10:52:00,16.95,13954.0,United Kingdom
565437,22960,JAM MAKING SET WITH JARS,10,2011-09-04 13:48:00,4.25,17050.0,United Kingdom
520324,20984,12 PENCILS TALL TUBE POSY,12,2010-08-25 12:18:00,0.85,14334.0,United Kingdom
556045,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-06-08 12:54:00,2.95,15764.0,United Kingdom
506410,22090,PAPER BUNTING RETRO SPOTS,12,2010-04-29 13:54:00,2.95,12863.0,United Kingdom
510786,46000M,POLYESTER FILLER PAD 45x45cm,4,2010-06-03 15:50:00,1.55,14492.0,United Kingdom
573295,22366,DOORMAT AIRMAIL ,8,2011-10-28 15:54:00,8.25,14440.0,United Kingdom
515327,21974,SET OF 36 PAISLEY FLOWER DOILIES,2,2010-07-11 12:59:00,1.45,13230.0,United Kingdom
572513,21993,FLORAL FOLK STATIONERY SET,2,2011-10-24 14:36:00,1.25,16728.0,United Kingdom
511939,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8,2010-06-11 12:10:00,2.55,13767.0,United Kingdom
544918,22219,LOVEBIRD HANGING DECORATION WHITE ,12,2011-02-24 16:30:00,0.85,13081.0,United Kingdom
537392,22367,CHILDRENS APRON SPACEBOY DESIGN,2,2010-12-06 13:58:00,1.95,17068.0,United Kingdom
574063,21162,TOXIC AREA  DOOR HANGER ,3,2011-11-02 14:31:00,0.39,13271.0,United Kingdom
559863,21793,CLASSIC FRENCH STYLE BASKET BROWN,1,2011-07-13 10:33:00,3.95,15039.0,United Kingdom
577058,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",1,2011-11-17 14:29:00,1.25,18122.0,United Kingdom
494666,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2010-01-17 14:53:00,1.25,13869.0,United Kingdom
549124,22727,ALARM CLOCK BAKELIKE RED ,24,2011-04-06 14:03:00,3.75,16672.0,United Kingdom
500336,21033,JUMBO BAG CHARLIE AND LOLA TOYS,2,2010-03-07 13:48:00,2.95,17589.0,United Kingdom
510330,21279,VINTAGE KITCHEN PRINT FRUITS,6,2010-05-28 13:42:00,2.55,16190.0,United Kingdom
552364,47567B,TEA TIME KITCHEN APRON,3,2011-05-09 12:25:00,5.95,13004.0,United Kingdom
504701,20723,STRAWBERRY CHARLOTTE BAG,20,2010-04-15 18:27:00,0.85,16722.0,United Kingdom
573576,22418,10 COLOUR SPACEBOY PEN,1,2011-10-31 14:09:00,1.63,14096.0,United Kingdom
494385,20677,PINK SPOTTY BOWL,8,2010-01-14 09:33:00,1.25,18268.0,United Kingdom
546107,20674,GREEN POLKADOT BOWL,4,2011-03-09 12:33:00,1.25,17238.0,United Kingdom
577748,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,12,2011-11-21 14:24:00,2.1,15159.0,United Kingdom
518201,21329,DINOSAURS  WRITING SET ,12,2010-08-05 11:30:00,1.65,17156.0,United Kingdom
566408,22429,ENAMEL MEASURING JUG CREAM,2,2011-09-12 13:43:00,4.25,16984.0,United Kingdom
496520,21876,POTTERING MUG,1,2010-02-02 12:17:00,1.25,15311.0,United Kingdom
536042,21358,TOAST ITS - HAPPY BIRTHDAY,1,2010-11-29 17:35:00,1.25,13955.0,United Kingdom
499890,21356,TOAST ITS - FAIRY FLOWER,1,2010-03-03 11:34:00,1.25,14606.0,United Kingdom
572552,21676,FLOWERS  STICKERS,2,2011-10-24 17:07:00,1.63,14096.0,United Kingdom
542130,82567,"AIRLINE LOUNGE,METAL SIGN",6,2011-01-25 15:36:00,2.1,13468.0,United Kingdom
571433,23536,VILLAGE SHOW WALL ART,4,2011-10-17 13:19:00,5.95,13015.0,United Kingdom
531490,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,1,2010-11-08 15:09:00,3.75,15005.0,United Kingdom
526225,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2010-10-10 15:06:00,2.95,14571.0,United Kingdom
503445,79321,CHILLI LIGHTS,8,2010-04-01 10:48:00,4.95,13327.0,United Kingdom
533137,22865,HAND WARMER OWL DESIGN,2,2010-11-16 12:58:00,2.1,17203.0,United Kingdom
576189,22271,FELTCRAFT DOLL ROSIE,2,2011-11-14 11:33:00,2.95,14684.0,United Kingdom
555101,85099F,JUMBO BAG STRAWBERRY,10,2011-05-31 13:45:00,2.08,13070.0,United Kingdom
510678,21447,12 IVORY ROSE PEG PLACE SETTINGS,432,2010-06-03 08:49:00,1.06,15812.0,United Kingdom
533896,21527,RED RETROSPOT TRADITIONAL TEAPOT ,2,2010-11-19 11:48:00,7.95,16279.0,United Kingdom
536039,22634,CHILDS BREAKFAST SET SPACEBOY ,1,2010-11-29 17:19:00,9.95,17223.0,United Kingdom
531352,22494,EMERGENCY FIRST AID TIN ,1,2010-11-07 13:45:00,1.25,13137.0,United Kingdom
576624,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,16,2011-11-15 17:14:00,0.42,16156.0,United Kingdom
574657,22561,WOODEN SCHOOL COLOURING SET,4,2011-11-06 11:43:00,1.65,13772.0,United Kingdom
525906,37370,RETRO COFFEE MUGS ASSORTED,144,2010-10-07 16:08:00,1.06,14031.0,United Kingdom
500999,20975,12 PENCILS SMALL TUBE RED SPOTTY,6,2010-03-11 13:46:00,0.65,16933.0,United Kingdom
560895,23297,SET 40 HEART SHAPE PETIT FOUR CASES,24,2011-07-21 17:12:00,1.65,13089.0,United Kingdom
562605,22386,JUMBO BAG PINK POLKADOT,10,2011-08-08 10:59:00,2.08,12530.0,Germany
537738,21930,JUMBO STORAGE BAG SKULLS,10,2010-12-08 11:02:00,1.95,17706.0,United Kingdom
533381,21713,CITRONELLA CANDLE FLOWERPOT,1,2010-11-17 10:55:00,2.1,14417.0,United Kingdom
556042,20751,FUNKY WASHING UP GLOVES ASSORTED,3,2011-06-08 12:44:00,2.1,14367.0,United Kingdom
573332,85066,CREAM SWEETHEART MINI CHEST,1,2011-10-30 11:28:00,12.75,15059.0,United Kingdom
539353,21754,HOME BUILDING BLOCK WORD,3,2010-12-17 11:30:00,5.95,12782.0,Portugal
552712,48129,DOORMAT TOPIARY,2,2011-05-11 08:34:00,7.95,17634.0,United Kingdom
562727,23124,18PC WOODEN CUTLERY SET DISPOSABLE,16,2011-08-09 09:26:00,1.25,15601.0,United Kingdom
579885,22217,T-LIGHT HOLDER HANGING LACE,6,2011-11-30 17:37:00,1.25,15444.0,United Kingdom
574877,21619,4 VANILLA BOTANICAL CANDLES,12,2011-11-07 13:17:00,1.25,16637.0,United Kingdom
508864,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,5,2010-05-18 16:09:00,2.55,17589.0,United Kingdom
574477,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,15,2011-11-04 12:21:00,0.29,15453.0,United Kingdom
519936,22595,CHRISTMAS GINGHAM HEART,12,2010-08-23 08:08:00,0.85,17508.0,Greece
501810,21874,GIN AND TONIC MUG,12,2010-03-19 14:41:00,1.25,14911.0,EIRE
576176,23263,SET OF 3 WOODEN HEART DECORATIONS,2,2011-11-14 11:04:00,1.25,16936.0,United Kingdom
534141,35471D,SET OF 3 BIRD LIGHT PINK FEATHER ,2,2010-11-21 12:21:00,1.25,16791.0,United Kingdom
545883,47351B,BLUE  VOILE LAMPSHADE,6,2011-03-07 15:40:00,2.95,15974.0,United Kingdom
574069,22555,PLASTERS IN TIN STRONGMAN,12,2011-11-02 14:52:00,1.65,17735.0,United Kingdom
549294,22996,TRAVEL CARD WALLET VINTAGE TICKET,3,2011-04-07 19:27:00,0.42,13230.0,United Kingdom
565794,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2011-09-07 09:45:00,2.55,16029.0,United Kingdom
557758,22609,PENS ASSORTED SPACEBALL,36,2011-06-22 13:28:00,0.19,17585.0,United Kingdom
580819,22742,MAKE YOUR OWN PLAYTIME CARD KIT,12,2011-12-06 11:30:00,0.79,15318.0,United Kingdom
573904,23330,DECORATIVE WICKER HEART MEDIUM,4,2011-11-01 14:54:00,1.25,14505.0,United Kingdom
539379,85014B,RED RETROSPOT UMBRELLA,3,2010-12-17 11:43:00,5.95,15780.0,United Kingdom
515314,21499,BLUE SPOTS  WRAP,25,2010-07-11 10:49:00,0.42,16889.0,United Kingdom
534738,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-11-23 19:24:00,2.55,12377.0,Switzerland
573904,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-11-01 14:54:00,3.75,14505.0,United Kingdom
578333,POST,POSTAGE,2,2011-11-24 08:50:00,18.0,12471.0,Germany
